age;ed;employ;address;income;debtinc;creddebt;othdebt;default
40;1;3;9;34.9;10.59;322.283.352;0.47307648;1
31;1;11;12;36.1;10.53;108.337.905;271.795.095;0
40;1;2;7;23.2;7.61;0.96927048;0.79624952;1
40;1;8;8;39.5;11.08;25.296.748;18.469.252;0
26;1;4;3;24.4;5.41;0.3894118;0.9306282;0
40;1;10;15;40.8;17.92;304.152.576;426.983.424;0
32;1;1;10;19.3;2.84;0.21705552;0.33106448;0
32;1;14;9;50.6;4.68;0.710424;1.657.656;0
48;1;21;4;50.3;5.29;0.10377393;255.709.607;0
55;1;19;7;117.6;1.88;0.46207392;174.880.608;0
25;1;6;2;28.0;6.47;10.833.368;0.7282632;0
33;1;3;14;24.1;1.96;0.17052196;0.30183804;0
50;2;11;31;35.2;10.66;0.98310784;276.921.216;0
32;2;0;6;23.2;5.81;0.38280928;0.96511072;1
41;3;2;0;49.9;26.33;652.991.899;660.875.101;1
36;1;17;6;33.3;14.96;0.70241688;427.926.312;0
43;2;1;1;54.2;5.9;1.454.999;1.742.801;0
43;1;15;9;45.3;13.43;0.64488174;543.890.826;0
33;2;1;4;27.4;5.6;0.6736016;0.8607984;0
28;3;1;6;31.8;14.46;199.565.352;260.262.648;1
24;2;3;1;21.2;8.83;0.38000788;149.195.212;1
44;1;9;13;32.0;5.78;0.4790464;13.705.536;0
39;1;17;4;40.9;5.84;118.472.576;120.383.424;0
42;2;21;11;103.6;9.66;0.24018624;976.757.376;0
38;4;6;13;65.3;14.94;617.543.406;358.038.594;0
47;2;1;18;21.7;25.27;0.91027594;457.331.406;1
31;3;9;9;29.1;11.22;11.754.072;20.896.128;1
28;1;4;7;19.2;11.17;0.95865408;118.598.592;0
42;3;8;6;78.6;1.35;0.1772037;0.8838963;0
42;2;12;17;62.0;10.1;1.540.452;4.721.548;0
45;3;2;5;28.3;7.34;0.40713512;167.008.488;0
32;1;16;5;83.7;6.13;0.7696215;43.611.885;0
25;1;0;3;19.4;17.54;115.353.564;224.922.436;1
43;4;20;1;167.7;2.69;0.73080306;378.032.694;0
33;3;3;9;27.5;3.23;0.16787925;0.72037075;0
36;2;4;2;38.4;14.69;0.51896832;512.199.168;1
28;1;1;6;28.1;6.29;0.92439727;0.84309273;0
40;2;15;16;39.8;11.91;0.91485474;382.532.526;0
41;2;17;9;83.7;5.71;193.560.435;284.366.565;0
25;1;1;0;16.6;8.12;0.58499728;0.76292272;1
38;1;12;4;27.6;10.11;12.696.138;15.207.462;0
39;2;9;1;74.5;11.0;1.434.125;6.760.875;1
34;4;6;3;92.3;35.34;678.471.456;2.583.410.544;1
31;1;2;4;18.6;6.85;0.6192126;0.6548874;0
43;3;16;11;67.7;3.42;113.914.728;117.619.272;0
33;2;7;7;30.1;15.51;137.254.194;329.596.806;0
36;1;10;12;31.6;2.14;0.30836544;0.36787456;0
21;3;0;0;26.3;15.23;0.97333407;303.215.593;1
25;1;6;6;20.1;1.61;0.10128993;0.22232007;1
26;1;9;4;28.0;19.07;20.183.688;33.212.312;0
39;1;19;16;47.0;5.82;10.449.228;16.904.772;0
26;4;1;7;59.5;3.46;0.4199748;16.387.252;0
35;1;0;3;26.4;2.31;0.3140676;0.2957724;1
44;2;10;1;62.3;20.58;669.273.948;612.860.052;1
34;3;12;14;94.7;17.41;14.838.543;150.034.157;0
39;1;17;20;51.6;7.0;1.076.376;2.535.624;0
24;1;7;2;16.7;2.42;0.08325284;0.32088716;0
39;1;5;2;36.6;7.37;14.700.939;12.273.261;1
31;3;0;3;23.8;6.87;0.163506;1.471.554;1
42;1;3;18;18.5;12.43;0.70596185;159.358.815;0
23;3;1;3;54.2;20.74;120.279.556;1.003.828.444;0
43;1;22;15;39.3;6.75;0.774603;1.878.147;0
29;2;4;3;33.4;12.62;0.5901112;36.249.688;0
43;1;6;8;23.0;3.01;0.2326128;0.4596872;0
28;3;3;9;29.3;8.0;0.56256;178.144;1
30;1;13;8;50.6;10.57;0.6685525;46.798.675;0
45;4;12;25;150.4;4.48;14.486.528;52.892.672;0
31;1;11;8;32.1;9.18;0.18270036;276.407.964;0
41;1;16;17;66.5;12.52;12.821.732;70.436.268;0
27;1;4;8;17.8;12.17;0.21879226;194.746.774;0
31;2;4;6;18.5;9.42;0.5036403;12.390.597;0
27;4;1;3;31.2;18.33;227.042.712;344.853.288;1
30;4;2;8;35.1;10.02;249.005.016;102.696.984;0
30;1;11;1;59.1;4.12;0.02678412;240.813.588;0
31;1;6;1;27.2;19.71;159.225.264;376.886.736;1
32;2;12;1;33.3;18.19;101.762.136;503.964.864;1
43;1;13;23;38.4;2.78;0.15906048;0.90845952;0
30;1;1;5;14.9;1.04;0.03424616;0.12071384;0
50;2;7;0;48.8;9.98;0.55520736;431.503.264;0
38;2;12;4;63.9;18.77;576.912.843;622.490.157;1
37;1;9;18;50.3;1.4;0.5394172;0.1647828;0
45;1;0;18;24.6;27.12;177.462.432;489.689.568;1
38;1;21;5;55.4;2.18;0.2053124;10.024.076;0
29;1;10;10;29.5;9.65;0.86825875;197.849.125;0
24;1;5;3;18.0;6.27;0.028215;1.100.385;0
36;1;13;16;40.8;22.65;1.663.416;7.577.784;0
35;2;8;11;72.0;2.77;0.4028688;15.915.312;0
31;2;2;1;27.6;2.86;0.07972536;0.70963464;1
32;1;8;6;28.7;4.12;0.36182664;0.82061336;0
35;2;1;8;18.0;11.0;0.29106;168.894;1
40;2;13;11;78.3;19.87;502.530.183;1.053.290.817;1
22;1;4;2;22.0;11.6;1.694.528;0.857472;1
44;1;4;15;40.0;6.59;1.257.372;1.378.628;0
41;4;14;3;44.2;1.7;0.3546608;0.3967392;0
34;1;16;9;32.4;26.6;36.972.936;49.211.064;0
34;1;1;3;24.5;9.73;0.6150333;17.688.167;1
31;1;4;10;24.4;6.9;0.9832224;0.7003776;0
30;1;0;0;18.6;4.88;0.29771904;0.60996096;1
32;1;14;7;27.7;7.29;0.61791498;140.141.502;0
36;1;12;6;64.5;7.76;14.615.184;35.436.816;0
42;1;9;12;30.2;2.14;0.13054856;0.51573144;0
37;3;3;18;40.3;9.43;0.72965568;307.063.432;0
25;3;0;0;19.3;17.38;0.17107134;318.326.866;0
28;2;7;2;20.8;7.86;0.68011008;0.95476992;0
32;1;4;6;29.1;16.73;103.210.716;383.632.284;0
41;2;3;22;38.7;10.66;0.5775588;35.478.612;0
25;3;2;6;46.0;8.33;26.094.558;12.223.442;1
44;1;28;8;157.7;11.93;645.306.823;1.236.054.177;0
38;1;8;7;25.2;2.52;0.32958576;0.30545424;0
38;1;15;3;43.3;3.07;0.5051378;0.8241722;0
27;1;10;6;33.3;17.08;291.207.168;277.556.832;0
52;1;35;15;182.7;9.21;940.610.853;742.056.147;0
31;4;0;10;27.8;13.52;0.28565056;347.290.944;1
35;2;4;8;28.2;13.3;1.200.192;2.550.408;0
26;1;4;3;15.9;5.05;0.4207458;0.3822042;1
33;2;9;4;67.6;9.33;183.536.028;447.171.972;0
55;1;19;2;66.6;6.88;136.087.776;322.120.224;0
47;1;12;24;29.0;10.7;0.726102;2.376.898;0
27;1;10;5;34.8;8.88;0.56860416;252.163.584;0
38;2;8;14;36.3;1.37;0.2237895;0.2735205;0
22;1;3;3;14.6;7.6;0.3095784;0.8000216;0
24;1;6;0;15.3;5.79;0.33928821;0.54658179;0
23;1;6;2;22.7;17.37;103.700.637;290.598.363;1
25;1;4;1;20.6;12.09;0.72723768;176.330.232;1
28;1;1;1;17.6;18.66;0.85059744;243.356.256;0
22;1;0;1;17.5;8.53;0.1940575;12.986.925;1
50;1;8;27;20.4;11.28;0.28303776;201.808.224;0
31;2;6;6;50.9;7.1;0.8275831;27.863.169;1
42;1;19;12;35.2;6.86;0.34289024;207.182.976;0
41;1;5;10;42.0;14.15;1.456.035;4.486.965;1
48;4;3;23;35.4;6.34;0.89325528;135.110.472;0
31;2;5;8;17.1;27.29;0.52732467;413.926.533;0
29;3;7;1;35.3;17.23;173.342.415;434.876.585;1
35;1;9;1;46.1;12.86;117.976.354;474.869.646;0
39;1;9;9;43.6;10.2;24.192.768;20.279.232;0
26;2;6;6;38.1;7.34;133.954.266;145.699.734;0
36;1;14;11;52.4;8.23;122.044.316;309.207.684;0
34;2;13;4;39.0;1.92;0.0965952;0.6522048;0
40;3;16;6;224.4;12.78;854.613.936;2.013.218.064;1
32;2;7;11;22.3;22.89;164.874.381;345.572.619;0
50;1;19;31;43.5;16.66;35.438.319;37.032.681;0
46;1;22;18;73.8;8.44;154.472.256;468.399.744;0
36;1;1;1;17.9;14.01;0.7272591;17.805.309;0
33;2;1;3;35.0;11.32;1.969.114;1.992.886;0
31;2;10;6;39.5;2.59;0.2823618;0.7406882;0
25;3;1;1;16.1;2.03;0.12354174;0.20328826;0
41;2;21;22;131.7;14.51;1.236.395.649;674.571.351;0
42;2;3;17;23.4;4.67;0.21964878;0.87313122;0
45;1;26;23;74.9;8.04;174.034.644;428.161.356;0
28;1;11;6;30.5;2.42;0.1372866;0.6008134;0
48;3;0;27;27.6;10.83;123.747.912;175.160.088;0
48;3;17;26;192.0;28.01;157.573.056;380.218.944;1
33;2;5;11;50.3;6.49;221.657.513;104.789.487;0
47;1;2;24;35.6;15.45;0.4015146;50.986.854;0
38;1;21;11;130.6;20.42;88.006.116;178.679.084;1
23;1;5;2;33.1;7.96;0.592821;2.041.939;0
29;2;10;8;38.0;10.16;0.8764016;29.843.984;0
33;1;0;2;26.9;14.4;0.6740064;31.995.936;0
38;1;21;1;44.7;8.4;0.4468212;33.079.788;0
45;2;6;3;31.2;5.54;0.5012592;12.272.208;1
28;2;0;9;18.3;19.25;21.488.775;13.738.725;1
28;1;5;5;23.1;28.54;179.981.802;479.292.198;1
27;3;5;8;15.8;2.09;0.02179452;0.30842548;0
39;2;1;6;35.8;4.58;0.54600012;109.363.988;0
27;1;8;2;26.2;4.43;0.2437386;0.9169214;0
30;3;5;2;22.3;2.89;0.23780943;0.40666057;0
33;1;6;3;24.4;8.11;0.5144984;14.643.416;0
27;2;6;1;37.3;8.27;0.12955782;295.515.218;1
41;1;10;7;46.8;4.71;0.8596692;13.446.108;0
32;1;7;2;27.4;16.19;273.704.902;169.901.098;1
30;2;6;6;28.9;14.24;0.79837984;331.698.016;1
28;2;7;2;38.7;1.25;0.32266125;0.16108875;1
32;1;9;7;25.4;18.35;0.5965952;40.643.048;0
30;1;10;11;37.5;9.93;0.73357875;299.017.125;0
47;3;8;23;36.2;17.59;20.057.877;43.617.923;1
42;1;26;10;60.4;19.81;485.788.744;710.735.256;0
34;1;2;8;31.0;15.87;15.447.858;33.749.142;0
26;3;1;7;23.6;3.97;0.23610384;0.70081616;0
25;2;5;4;15.9;4.02;0.44039502;0.19878498;0
29;1;1;1;18.2;3.25;0.0715715;0.5199285;0
33;2;11;9;29.9;14.13;141.110.658;281.376.342;0
35;1;15;11;52.3;6.77;231.562.434;122.508.566;0
46;1;27;15;77.7;23.99;275.875.404;1.588.147.596;0
44;3;1;6;63.1;8.37;204.921.036;323.225.964;1
46;1;6;18;50.9;3.7;0.7834528;10.998.472;0
33;4;9;0;61.9;5.25;2.365.818;0.883932;0
45;4;7;0;152.7;13.76;92.450.688;117.664.512;1
35;1;16;12;24.4;21.32;0.93117232;427.090.768;0
29;1;6;2;36.5;16.75;2.274.315;3.839.435;0
30;1;6;0;20.4;7.8;0.4789512;11.122.488;0
38;1;18;19;44.4;4.54;0.61682256;139.893.744;0
34;3;2;14;17.7;6.81;0.49661244;0.70875756;0
36;4;12;11;52.8;21.91;23.715.384;91.969.416;0
40;1;7;1;22.5;6.79;0.5897115;0.9380385;0
26;1;4;0;45.9;12.42;109.454.976;460.623.024;0
52;4;20;11;118.6;6.77;356.497.368;446.424.632;0
39;4;5;12;22.8;5.47;0.63854592;0.60861408;0
27;2;8;7;23.2;11.93;0.51757112;225.018.888;0
52;1;9;11;24.7;19.28;0.82861584;393.354.416;1
39;1;9;6;43.1;6.24;0.50561472;218.382.528;0
33;1;7;0;33.7;14.93;175.093.068;328.047.932;1
25;2;2;1;23.4;9.73;0.57148182;170.533.818;0
44;2;23;1;57.6;0.54;0.202176;0.108864;0
49;2;21;29;167.8;6.88;144.308;1.010.156;0
41;1;13;21;58.0;23.77;56.111.462;81.754.538;0
40;1;3;11;37.5;16.39;280.269;334.356;1
33;2;0;11;18.9;1.23;0.1022868;0.1301832;0
27;3;6;4;40.9;10.41;146.464.536;279.304.464;0
32;1;16;10;35.3;3.77;0.80247843;0.52833157;0
43;1;17;0;65.2;16.71;660.232.152;429.259.848;0
38;2;3;18;25.7;10.92;166.702.536;113.941.464;1
36;1;18;14;41.0;2.43;0.2430972;0.7532028;0
38;2;7;17;41.5;13.63;273.206.535;292.438.465;0
32;1;14;0;33.9;2.44;0.26138256;0.56577744;0
30;1;0;11;17.1;0.51;0.03767472;0.04953528;0
26;4;1;0;25.6;8.99;129.110.784;101.033.216;1
31;1;11;6;32.6;4.88;0.40885616;118.202.384;1
34;1;15;2;76.8;24.71;861.568.512;1.036.159.488;1
31;1;8;3;34.9;7.61;0.96143218;169.445.782;1
48;2;28;11;168.0;10.47;38.521.224;137.374.776;0
29;1;9;0;29.0;4.54;0.2119726;11.046.274;1
36;2;4;17;42.2;7.65;0.9200655;23.082.345;0
29;1;11;7;57.5;3.06;0.4873815;12.721.185;0
33;2;9;2;30.0;13.8;0.96048;317.952;0
39;1;15;5;43.0;7.26;1.123.848;1.997.952;0
42;1;0;21;18.8;5.93;0.222968;0.891872;0
25;1;7;3;28.7;5.79;0.2658768;13.958.532;1
36;4;11;14;64.9;16.8;73.705.632;35.326.368;1
44;1;15;2;44.3;5.51;160.125.008;0.83967992;0
36;2;4;16;38.1;8.07;125.139.069;182.327.931;0
27;1;0;8;17.8;3.95;0.0358581;0.6672419;0
37;1;12;12;36.2;7.42;0.604359;2.081.681;0
38;3;11;8;45.3;11.12;167.744.088;335.991.912;0
31;2;10;7;42.3;7.84;145.254.816;186.377.184;0
36;1;18;14;44.4;17.13;455.582.628;304.989.372;0
25;2;4;5;21.5;6.27;0.053922;1.294.128;0
46;1;10;3;38.3;7.01;0.34097341;234.385.659;0
29;3;3;7;34.4;10.25;146.329;206.271;0
41;2;5;2;28.5;2.99;0.357903;0.494247;0
40;1;12;16;32.8;3.23;0.55514656;0.50429344;0
34;1;10;10;22.7;9.74;0.13708076;207.389.924;0
24;1;6;2;18.9;5.26;0.09841986;0.89572014;0
27;3;5;1;28.6;7.97;106.448.914;121.493.086;0
25;1;9;4;34.7;1.26;0.1333521;0.3038679;0
36;3;11;12;51.7;6.5;0.53768;282.282;1
38;1;5;2;25.2;5.52;0.60927552;0.78176448;1
46;1;14;16;43.6;22.7;3.760.936;6.136.264;0
34;4;7;14;41.7;15.36;174.219.264;466.292.736;0
37;2;2;14;26.3;42.09;35.422.944;75.273.756;1
30;1;2;6;19.9;27.14;31.865.074;22.143.526;1
37;1;18;8;48.2;11.25;41.699.025;12.525.975;0
36;1;2;0;31.2;2.34;0.15842736;0.57165264;0
24;4;0;5;27.9;3.08;0.04468464;0.81463536;0
31;4;1;6;36.4;3.46;0.346346;0.913094;0
26;3;0;4;27.3;17.32;0.83691972;389.144.028;0
39;1;16;4;31.4;6.23;103.288.416;0.92333584;0
52;4;27;17;174.0;2.44;2.207.712;2.037.888;0
26;2;4;0;25.2;29.06;15.378.552;57.852.648;1
45;1;5;17;28.3;0.08;0.01326704;0.00937296;0
37;1;18;0;108.8;20.61;1.327.481.856;914.886.144;1
36;2;0;6;47.8;4.07;0.25096434;169.449.566;0
49;1;20;5;95.6;25.08;632.979.072;1.764.668.928;1
37;1;13;4;33.3;4.36;0.24101208;121.086.792;0
29;2;9;9;40.1;8.18;158.104.676;169.913.324;0
40;2;5;12;52.6;4.64;11.715.072;12.691.328;0
36;4;1;10;41.4;26.58;505.089.108;595.322.892;1
40;1;12;6;43.2;13.88;107.331.264;492.284.736;0
40;1;2;4;33.9;9.65;144.266.535;182.868.465;0
38;1;12;0;52.1;8.0;0.262584;3.905.416;0
30;1;8;6;29.5;12.03;0.9794826;25.693.674;0
29;1;1;1;16.1;5.51;0.13395361;0.75315639;1
29;3;3;3;35.1;3.99;0.68203863;0.71845137;0
26;4;2;6;50.1;2.5;0.56112;0.69138;1
28;4;0;5;32.5;13.14;2.365.857;1.904.643;1
43;2;19;9;74.7;8.24;2.923.758;3.231.522;0
31;1;7;1;39.3;5.43;0.30302658;183.096.342;0
23;1;2;0;18.8;7.56;0.6608952;0.7603848;0
39;1;3;9;40.7;24.33;411.936.096;578.294.904;0
39;1;1;4;26.1;21.96;364.527.216;208.628.784;1
31;1;8;8;51.3;19.85;609.964.695;408.340.305;1
28;1;4;2;17.8;4.85;0.094963;0.768337;0
46;1;6;19;24.0;2.91;0.2674872;0.4309128;0
38;1;20;1;62.3;8.61;111.035.421;425.367.579;1
26;2;5;6;36.7;16.09;136.996.696;453.506.304;0
44;2;18;4;247.0;5.32;20.236.216;111.167.784;0
42;3;9;4;40.9;3.12;0.41727816;0.85880184;0
45;2;16;2;70.5;4.32;13.370.184;17.085.816;0
32;1;10;13;34.4;8.5;1.497.088;1.426.912;0
25;1;6;6;23.7;4.25;0.27497925;0.73227075;0
54;1;16;16;42.6;14.85;2.087.613;4.238.487;0
23;1;7;3;29.4;3.86;0.23037252;0.90446748;0
41;2;8;21;42.9;3.97;0.12603162;157.709.838;0
34;2;1;0;28.8;7.91;10.479.168;12.301.632;1
50;1;2;29;29.5;9.0;12.213;14.337;0
40;1;6;6;25.9;9.73;108.615.017;143.391.983;0
48;3;25;5;152.8;12.03;71.689.176;112.129.224;0
27;2;4;6;32.6;19.81;0.45852226;599.953.774;0
38;2;13;9;41.9;11.94;0.24013728;476.272.272;0
37;2;17;3;41.6;11.54;140.178.688;339.885.312;0
33;1;0;6;20.8;3.58;0.33955584;0.40508416;0
48;3;22;22;186.9;7.69;232.836.282;1.204.424.718;0
32;1;0;7;14.2;10.65;0.4612515;10.510.485;1
30;1;0;11;19.1;9.73;0.41814675;144.028.325;1
26;4;1;5;34.4;8.39;1.876.004;1.010.156;1
24;1;3;2;16.4;1.81;0.04215128;0.25468872;0
40;1;17;8;53.8;14.68;386.204.376;403.579.624;0
40;2;6;0;26.0;12.0;0.70824;241.176;0
36;5;2;1;30.4;10.97;0.52357616;281.130.384;0
45;2;11;17;76.1;1.95;0.712296;0.771654;0
36;5;5;12;112.5;8.18;4.141.125;5.061.375;1
39;2;18;9;60.2;2.14;0.51273544;0.77554456;0
36;1;18;9;30.3;7.78;0.6600552;16.972.848;0
50;2;22;0;194.9;9.91;1.099.000.171;832.458.829;0
37;2;0;4;31.6;14.89;128.923.576;341.600.424;1
46;4;18;13;86.6;7.05;24.543.306;36.509.694;0
31;3;4;5;36.6;22.47;227.805.354;594.596.646;1
37;4;3;17;49.7;3.35;0.7592172;0.9057328;0
33;1;14;8;26.6;24.06;50.239.686;13.759.914;0
28;1;8;6;27.5;5.29;0.23712425;121.762.575;0
41;1;24;5;61.1;8.95;23.733.073;30.951.427;0
36;1;12;6;47.3;5.78;246.874.782;0.26519218;0
34;2;1;2;26.3;4.94;0.76783902;0.53138098;0
31;1;15;2;36.8;21.33;126.375.984;658.568.016;0
29;1;4;4;18.6;3.77;0.13253058;0.56868942;0
31;1;7;12;36.6;16.1;23.629.326;35.296.674;0
26;2;3;1;28.5;17.19;214.092.855;275.822.145;1
42;1;4;4;24.1;4.79;0.25281141;0.90157859;0
34;1;16;13;45.2;18.32;264.152.416;563.911.584;0
37;4;14;4;39.3;2.07;0.55888137;0.25462863;0
37;1;1;14;22.0;3.61;0.1683704;0.6258296;0
33;3;0;4;27.3;20.38;0.79005108;477.368.892;0
36;1;8;6;27.6;5.39;0.38529876;110.234.124;0
30;1;5;10;27.7;11.76;0.9283932;23.291.268;0
32;2;2;13;27.0;8.32;0.6042816;16.421.184;0
40;3;0;13;36.4;6.74;119.723.968;125.612.032;1
29;2;9;8;40.1;1.92;0.13011648;0.63980352;0
25;1;1;3;20.5;6.46;0.3562367;0.9680633;0
51;1;23;7;81.6;11.92;523.297.536;449.374.464;0
34;2;14;3;56.1;17.39;501.447.606;474.131.394;1
47;3;9;1;106.1;4.41;152.535.726;315.365.274;1
35;1;5;5;19.9;14.13;107.413.434;173.773.566;0
33;2;8;5;23.6;6.62;0.468696;1.093.624;0
51;1;14;0;40.4;3.38;0.5393804;0.8261396;0
26;2;0;7;22.1;13.17;0.49770747;241.286.253;0
34;1;10;3;32.4;9.64;163.664.064;148.671.936;0
23;2;0;4;15.8;9.36;0.74387664;0.73500336;0
45;1;16;13;60.9;8.45;22.539.699;28.920.801;0
30;1;7;5;22.5;15.09;0.4821255;29.131.245;0
29;1;6;9;20.0;11.62;0.2905;20.335;0
37;2;14;18;49.7;29.77;298.872.938;1.180.696.062;0
34;1;18;10;43.0;15.46;26.657.678;39.820.322;0
50;2;16;14;84.7;5.04;0.39273696;387.614.304;0
31;1;2;7;20.0;24.67;1.401.256;3.532.744;0
34;3;1;9;26.5;18.63;116.018.325;377.676.675;0
23;1;5;4;20.4;11.19;110.942.136;117.333.864;0
42;1;13;7;34.7;11.58;0.02410956;399.415.044;0
55;1;8;24;25.3;24.54;278.146.176;342.715.824;0
42;3;17;5;88.6;3.57;0.26253066;290.048.934;0
33;2;8;7;37.4;1.34;0.09421808;0.40694192;0
32;4;1;12;26.3;12.11;17.517.115;14.332.185;1
29;2;1;7;48.2;4.2;0.8522724;11.721.276;1
34;1;5;10;24.9;16.06;133.164.702;266.729.298;0
50;1;15;18;46.3;5.81;0.45999513;223.003.487;0
32;1;11;7;37.7;2.61;0.37784448;0.60612552;0
32;1;10;0;22.4;6.85;0.514024;1.020.376;0
31;2;1;7;28.3;10.84;0.26689164;280.082.836;0
27;1;7;2;21.8;30.15;13.868.397;51.858.603;1
46;1;1;15;21.9;14.84;143.973.228;181.022.772;1
43;2;16;10;45.6;7.99;0.33883992;330.460.008;0
38;1;21;2;63.8;5.35;0.8396718;25.736.282;0
33;4;8;10;45.0;2.87;0.415863;0.875637;0
23;4;0;4;15.3;12.71;0.69423291;125.039.709;1
28;1;11;4;28.4;23.57;196.130.684;473.257.316;0
28;1;5;6;20.3;1.66;0.01617504;0.32080496;0
20;3;0;1;29.3;2.32;0.07613312;0.60362688;0
43;1;16;7;66.9;17.63;169.840.368;1.009.606.632;0
42;1;5;9;24.2;27.38;149.746.696;512.849.304;1
